Date,"Fiscal
Year","Fiscal
Quarter","Year
and
Quarter","Ticker
Symbol","Company
Name", QR ,Period
3/31/01,2001,1,2001Q1,AMZN,AMAZON.COM INC,700.356,1
6/30/01,2001,2,2001Q2,AMZN,AMAZON.COM INC,667.625,2
9/30/01,2001,3,2001Q3,AMZN,AMAZON.COM INC,639.281,3
12/31/01,2001,4,2001Q4,AMZN,AMAZON.COM INC,"1,115.17",4
3/31/02,2002,1,2002Q1,AMZN,AMAZON.COM INC,847.422,5
6/30/02,2002,2,2002Q2,AMZN,AMAZON.COM INC,805.605,6
9/30/02,2002,3,2002Q3,AMZN,AMAZON.COM INC,851.299,7
12/31/02,2002,4,2002Q4,AMZN,AMAZON.COM INC,"1,428.61",8
3/31/03,2003,1,2003Q1,AMZN,AMAZON.COM INC,"1,083.56",9
6/30/03,2003,2,2003Q2,AMZN,AMAZON.COM INC,"1,099.91",10
9/30/03,2003,3,2003Q3,AMZN,AMAZON.COM INC,"1,134.46",11
12/31/03,2003,4,2003Q4,AMZN,AMAZON.COM INC,"1,945.77",12
3/31/04,2004,1,2004Q1,AMZN,AMAZON.COM INC,"1,530.35",13
6/30/04,2004,2,2004Q2,AMZN,AMAZON.COM INC,"1,387.34",14
9/30/04,2004,3,2004Q3,AMZN,AMAZON.COM INC,"1,462.48",15
12/31/04,2004,4,2004Q4,AMZN,AMAZON.COM INC,"2,540.96",16
3/31/05,2005,1,2005Q1,AMZN,AMAZON.COM INC,"1,902.00",17
6/30/05,2005,2,2005Q2,AMZN,AMAZON.COM INC,"1,753.00",18
9/30/05,2005,3,2005Q3,AMZN,AMAZON.COM INC,"1,858.00",19
12/31/05,2005,4,2005Q4,AMZN,AMAZON.COM INC,"2,977.00",20
3/31/06,2006,1,2006Q1,AMZN,AMAZON.COM INC,"2,279.00",21
6/30/06,2006,2,2006Q2,AMZN,AMAZON.COM INC,"2,139.00",22
9/30/06,2006,3,2006Q3,AMZN,AMAZON.COM INC,"2,307.00",23
12/31/06,2006,4,2006Q4,AMZN,AMAZON.COM INC,"3,986.00",24
3/31/07,2007,1,2007Q1,AMZN,AMAZON.COM INC,"3,015.00",25
6/30/07,2007,2,2007Q2,AMZN,AMAZON.COM INC,"2,886.00",26
9/30/07,2007,3,2007Q3,AMZN,AMAZON.COM INC,"3,262.00",27
12/31/07,2007,4,2007Q4,AMZN,AMAZON.COM INC,"5,672.00",28
3/31/08,2008,1,2008Q1,AMZN,AMAZON.COM INC,"4,135.00",29
6/30/08,2008,2,2008Q2,AMZN,AMAZON.COM INC,"4,063.00",30
9/30/08,2008,3,2008Q3,AMZN,AMAZON.COM INC,"4,265.00",31
12/31/08,2008,4,2008Q4,AMZN,AMAZON.COM INC,"6,703.00",32
3/31/09,2009,1,2009Q1,AMZN,AMAZON.COM INC,"4,889.00",33
6/30/09,2009,2,2009Q2,AMZN,AMAZON.COM INC,"4,652.00",34
9/30/09,2009,3,2009Q3,AMZN,AMAZON.COM INC,"5,448.00",35
12/31/09,2009,4,2009Q4,AMZN,AMAZON.COM INC,"9,520.00",36
3/31/10,2010,1,2010Q1,AMZN,AMAZON.COM INC,"7,131.00",37
6/30/10,2010,2,2010Q2,AMZN,AMAZON.COM INC,"6,566.00",38
9/30/10,2010,3,2010Q3,AMZN,AMAZON.COM INC,"7,560.00",39
12/31/10,2010,4,2010Q4,AMZN,AMAZON.COM INC,"12,947.00",40
3/31/11,2011,1,2011Q1,AMZN,AMAZON.COM INC,"9,857.00",41
6/30/11,2011,2,2011Q2,AMZN,AMAZON.COM INC,"9,913.00",42
9/30/11,2011,3,2011Q3,AMZN,AMAZON.COM INC,"10,876.00",43
12/31/11,2011,4,2011Q4,AMZN,AMAZON.COM INC,"17,431.00",44
3/31/12,2012,1,2012Q1,AMZN,AMAZON.COM INC,"13,185.00",45
6/30/12,2012,2,2012Q2,AMZN,AMAZON.COM INC,"12,834.00",46
9/30/12,2012,3,2012Q3,AMZN,AMAZON.COM INC,"13,806.00",47
12/31/12,2012,4,2012Q4,AMZN,AMAZON.COM INC,"21,268.00",48
3/31/13,2013,1,2013Q1,AMZN,AMAZON.COM INC,"16,070.00",49
6/30/13,2013,2,2013Q2,AMZN,AMAZON.COM INC,"15,704.00",50
9/30/13,2013,3,2013Q3,AMZN,AMAZON.COM INC,"17,091.00",51
12/31/13,2013,4,2013Q4,AMZN,AMAZON.COM INC,"25,587.00",52
3/31/14,2014,1,2014Q1,AMZN,AMAZON.COM INC,"19,741.00",53
6/30/14,2014,2,2014Q2,AMZN,AMAZON.COM INC,"19,340.00",54
